ID,RAW,Translate,
487,Kya tumne morning walk pe jaaya hai?,Did you go for a morning walk?,
488,Tumne apna mobile kyun nahi liya?,Why didn't you take your mobile?,
489,Main tumhare saath hoon,I am with you,
490,Tumne baarish mein bheega hai,You got wet in the rain,
491,Tumhe yahan se aage kahan jaana hai?,Where do you want to go from here?,
492,Main tumhe kabhi nahi dur jaane doonga,I will never let you go far away,
493,Kya tumne movie dekhi hai?,Have you watched the movie?,
494,Tum mere liye bohut important ho,You are very important to me,
495,Vo bahut sundar hai,She is very beautiful,
496,Tumne mujhe bola tha ki tum aaoge,You had told me that you will come,
497,Main toh bas sair karne aaya tha,I had just come out for a walk,
498,Tumhe bahut bhookh lagi hai,You are very hungry,
499,Main wapas aane wala hoon,I am coming back,
500,Tumne apne aap ko kaise sambhala?,How did you manage yourself?,
501,Kya tumhe kuchh zaroori kaam hai?,Do you have any important work?,
502,Main kal kaam par jaaonga,I will go to work tomorrow,
503,Tum mujhe pasand ho,I like you,
504,Tumhari aawaz kitni achhi hai,Your voice is very good,
505,Main toh bas mazaak kar raha tha,I was just joking,
506,Tumhe ye kaam karna chahiye,You should do this work,
507,Tumne kal apna kaam khatam kiya?,Did you finish your work yesterday?,
508,Kya tumhe ye pasand hai?,Do you like this?,
509,Tumne ye galti kyun ki?,Why did you make this mistake?,
510,Main tumse milne aaya hoon,I have come to meet you,
511,Tumne mujhe bahut khushi di hai,You have given me a lot of happiness,
512,Main tumhe bahut miss karta hoon,I miss you a lot,
513,Tumhara plan kya hai?,What is your plan?,
514,Tumne mujhe kabhi nahi samjha,You never understood me,
515,Main yahan rehna chahta hoon,I want to stay here,
516,Tumhe yeh kisko dena hai?,Who do you want to give this to?,
517,Tumne bahut mehnat ki hai,You have worked very hard,
518,Main tumhe kabhi nahi bhoolunga,I will never forget you,
519,Tumne kaunsa gana suna hai?,Which song have you listened to?,
520,Tumne kitna time lagaaya?,How much time did you take?,
521,Tumne mujhe bahut dukh diya hai,You have given me a lot of pain,
522,Main so raha tha,I was sleeping,
523,Kya tum mujhe wait kar sakte ho?,Can you wait for me?,
524,Tumhara dost kal aayega,Your friend will come tomorrow,
525,Kya tumne nahi suna?,Haven't you heard?,
526,Main tumhe kabhi hurt nahi karna chahta,I never want to hurt you,
527,Tumhara sapna kya hai?,What is your dream?,
528,Tumhari tabiyat kaisi hai?,How is your health?,
529,Maine tumhe kuchh gift diya hai,I have given you a gift,
530,Tumne mujhe bahut pyaar diya hai,You have given me a lot of love,
531,Main tumse kabhi nahi jhagadna chahta tha,I never wanted to fight with you,
532,Tumhe kabhi nahi samajh mein aaya,You never understood me,
533,Main yahan se kabhi nahi jaaunga,I will never leave from here,
534,Tumne kitna kharch kiya hai?,How much did you spend?,
535,Tumne mujhe kabhi nahi mana,You never refused me,
536,Main aapka shukriya karta hoon,I thank you,
537,Tumne mujhe bahut accha guidance diya hai,You have given me very good guidance,
538,Kya main aaj evening mein call kar sakta hoon?,Can I call you in the evening today?,
539,Tumhara favorite color kaunsa hai?,Which is your favorite color?,
540,Main tumhari bahut help kar sakta hoon,I can help you a lot,
541,Tumne mujhe kya sikhaya hai?,What have you taught me?,
542,Tumne mujhe apna mentor banaya hai,You have made me your mentor,
543,Main kabhi tumhari baaton mein aa jata hoon,Sometimes I get trapped in your talks,
544,Tumhe kya chahiye?,What do you want?,
545,Tumne meri photo achhi nahi li hai,You haven't clicked a good picture of me,
546,Main kabhi nahi bhoolunga ki tumne meri madad ki hai,I will never forget that you helped me,
547,Tumne mujhe bachaya hai,You have saved me,
548,Tumne meri zindagi badal di hai,You have changed my life,
549,Main tumhe kabhi nahi chhodoonga,I will never let you go,
550,Tumne bahut acche se kaam kiya hai,You have done a very good job,
551,Kya tumne apna mobile charge kiya hai?,Have you charged your mobile?,
552,Tumne kabhi dekha hai?,Have you seen it ever?,
553,Tumne mujhe kabhi nahi roka,You never stopped me,
554,Main bahut accha likhta hoon,I write very well,
555,Tumhari acting kitni achhi hai,Your acting is very good,
556,Tumne mujhe bahut sunaya hai,You have scolded me a lot,
557,Main aaj khush hoon,I am happy today,
558,Tumhara saath agar ho toh sab kuchh hai,"If I have your support, everything is possible",
559,Main kal subah tumse milne aaunga,I will come to meet you tomorrow morning,
560,Usne apne kaam ko khud hi kiya,He did his work himself,
561,Meri aankh phadak rahi hai,My eye is twitching,
562,Mujhe bahut thand lag rahi hai,I am feeling very cold,
563,Uski tabiyat kharab hai,His health is not good,
564,Main tumhe bahut miss kar raha hun,I am missing you a lot,
565,Aaj raat kaunsa film hai?,Which movie is playing tonight?,
566,Tumne mujhe bahut sataya hai,You troubled me a lot,
567,Usne mujhse baat karna band kar diya,He stopped talking to me,
568,Ye kaam asaan nahi hai,This work is not easy,
569,Tumne mujhe bahut samjhaya hai,You explained me a lot,
570,Main aapko yaad kar raha tha,I was remembering you,
571,Mujhe bahut jaldi jaana hai,I have to go very soon,
572,Usne apni galti maana,He admitted his mistake,
573,Main abhi aayi,I am coming now,
574,Tum kahan se aa rahe ho?,Where are you coming from?,
575,Tumne apni kitab kahan rakhi hai?,Where did you keep your book?,
576,Mera phone kahan hai?,Where is my phone?,
577,Usne mujhe kabhi support nahi kiya,He never supported me,
578,Main tumhe samajh nahi pa raha hun,I am not able to understand you,
579,Ye baat mujhe pata thi,I knew this thing,
580,Aaj ka din bohot khushnuma hai,Today is a very happy day,
581,Usne mujhe roka nahi,He didn't stop me,
582,Tum kya chahte ho?,What do you want?,
583,Mujhe tumse kuch baat karni hai,I want to talk to you about something,
584,Yahan khana bahut tasty hai,The food here is very tasty,
585,Usne mujhe apne ghar pe bulaya,He called me to his house,
586,Tumne mujhe yahan kyun bulaya?,Why did you call me here?,
587,Mere paas abhi waqt nahi hai,I don't have time right now,
588,Usne mujhse kaha ki wo mujhse pyar karta hai,She told me that she loves me,
589,Ye mera favourite gaana hai,This is my favorite song,
590,Main tumhe kabse jaanta hun,I have known you for how long?,
591,Tum kya kar rahe ho?,What are you doing?,
592,Usne mujhe bahut dukh diya hai,He has hurt me a lot,
593,Tum mujhe bahut yaad aate ho,I miss you a lot,
594,Main tumhe pakka wada karta hun,I promise you,
595,Mere paas koi sawaal nahi hai,I don't have any question,
596,Tum kya karna chahte ho?,What do you want to do?,
597,Usne apna haath mere haath mein dala,He put his hand in my hand,
598,Main tumse pyar karta hun,I love you,
599,Aaj ka din bahut boring hai,Today is a very boring day,
600,Tumne mujhe bahut kuch sikhaya hai,You have taught me a lot,
601,Usne mujhe aapse milne nahi diya,He didn't let me meet you,
602,Tumne mujhe kabhi nahi bhula,You never forgot me,
603,Mera pet bhara hua hai,I am full,
604,Usne apna promise nahi nibhaya,He didn't keep his promise,
605,Main aapko kabhi nahi chhodunga,I will never leave you,
606,Tumne meri zindagi badal di,You changed my life,
607,Usne mujhe kuch nahi bataya,He didn't tell me anything,
608,Tum mujhe kabhi samajh nahi paoge,You will never be able to understand me,
609,Ye mere liye bahut important hai,This is very important for me,
610,Main tumhe bahut jald milunga,I will meet you very soon,
611,Usne mujhe kuch tohfa diya,He gave me a gift,
612,Tumne mujhe kuch nahi sikhaya,You didn't teach me anything,
613,Main tumhe roz yaad karta hun,I remember you every day,
614,Usne apni zindagi aasaan nahi banayi,He didn't make his life easier,
615,Tum mujhe kabhi nahi samjhoge,You will never understand me,
616,Main aapki madad karunga,I will help you,
617,Ye mujhe bahut accha laga,I liked this very much,
618,Usne mujhe meri galti maaf ki,He forgave me for my mistake,
619,Tum mujhse bahut pyar karte ho,You love me very much,
620,Main tumhari help karunga,I will help you,
621,Usne mujhe kuch nahi bataya,He didn't tell me anything,
622,Tum mere liye bahut special ho,You are very special to me,
623,Main tumse bahut pyar karta hun,I love you very much,
624,Usne mujhe apne ghar par bula liya,He invited me to his house,
625,Tum kahan se aaye ho?,Where are you coming from?,
626,Mujhe bahut der ho gayi hai,It's very late for me,
627,Usne apni zindagi mein kuch nahi kiya,He didn't do anything in his life,
628,Tum mujhse baat kyun nahi karte ho?,Why don't you talk to me?,
629,Ye kaam main kal se kar raha tha,I have been doing this work since yesterday,
630,Main tumhe kabhi nahi bhulunga,I will never forget you,
631,Tumne mujhe bahut support kiya,You supported me a lot,
632,Usne mujhe kuch samjha nahi,He didn't explain to me anything,
633,Tum mujhe bahut miss karoge,You will miss me a lot,
634,Main tumhari madad kar sakte hun,I can help you,
635,Usne mujhe apni zindagi se bahar nikal diya,He took me out of his life,
636,Tum kya soch rahe ho?,What are you thinking?,
637,Mujhe tumse koi shikayat nahi hai,I don't have any complain with you,
638,Usne mujhse kaha ki wo abhi nahi aa sakta,He told me that he can't come right now,
639,Tum mujhe kuch tohfa do,Give me a gift,
640,Main tumse bahut khush hun,I am very happy with you,
641,Usne mujhe kabhi nahi samjha,He never understood me,
642,Tum mujhe bahut yaad karte ho,You miss me a lot,
643,Main tumhari zindagi mein hamesha rahunga,I will always be in your life,
644,Usne mujhe khud se door kar diya,He kept me away from himself,
645,Tum mujhe bahut acche lagte ho,You look very good to me,
646,Mujhe bahut neend aa rahi hai,I am very sleepy,
647,Usne mujhe kuch nahi diya,He didn't give me anything,
648,Main tumhe hamesha yaad rakhunga,I will always remember you,
649,Tum mujhe bahut yaad aate ho,I miss you a lot,
650,Usne mujhe hamesha support kiya hai,He has always supported me,
651,Tum mujhe kabhi bhool nahi paoge,You will never forget me,
652,Main apne kaam mein busy hun,I am busy with my work,
653,Usne mujhse baat kar liya,He talked to me,
654,Tum mujhe aaj bahut acche lag rahe ho,You are looking very good today,
655,Main tumhe hamesha samjhunga,I will always understand you,
656,Usne mujhe kahi invite nahi kiya hai,He didn't invite me anywhere,
657,Tum mere liye bahut important ho,You are very important to me,
658,Mujhe tumse kuch baat karni hai,I want to talk to you about something,
659,Usne mujhe is baare mein bataya hai,He told me about this,
660,Tum mujhse kabhi nahi roothna,You should never be angry with me,
661,Main tumhare saath hamesha rahunga,I will always be with you,
662,Usne mujhe kabhi kuch nahi diya,He never gave me anything,
663,Tum mujhe kabhi nahi chhodna,You should never leave me,
664,Main tumhe hamesha pyar karunga,I will always love you,
665,Usne mujhe apna phone diya,He gave me his phone,
666,Tum hamesha mere saath raho,Be always with me,
667,Mujhe tumse bahut hope hai,I have a lot of hope from you,
668,Usne mujhe hamesha support kiya hai,He has always supported me,
669,Tum mujhe kabhi nahi chhodoge,You will never leave me,
670,Main tumse hamesha baat karta hun,I always talk to you,
671,Usne mujhe kabhi bura nahi maana,He never minded me,
672,Tum mere liye bahut special ho,You are very special to me,
673,Main tumse hamesha pyar karta rahunga,I will always love you,
674,Usne mujhe apni zindagi se bahar nikal diya hai,He kept me out of his life,
675,Tum mujhe kabhi bhool nahi paoge,You will never forget me,
676,Mujhe tumse milna hai,I want to meet you,
677,Usne mujhse kabhi kuch nahi manga,He never asked me for anything,
678,Tum mere liye bahut important ho,You are very important to me,
679,Mujhe apni kalpana ko sach hone se pehle dekhna chahiye,I should see my imagination come true before it happens,
680,Mera naam Ravi hai aur main Mumbai mein rehta hoon,My name is Ravi and I live in Mumbai,
681,Tumhari muskurahat meri khushi hai,Your smile is my happiness,
682,Kya tumne apna kaam kiya?,Have you done your work?,
683,Usne apne bachpan ke sapnon ko poora kiya,He fulfilled his childhood dreams,
684,Samajhne se pehle sunna bhi zaroori hai,It is important to listen before trying to understand,
685,Main khush huun ki tum mere saath ho,I'm glad you're with me,
686,Ek acha dost har khatre se upar uth jaata hai,A good friend rises above all dangers,
687,Aaj ki taza khabar suno,Listen to today's fresh news,
688,Tum kis school mein padte ho?,In which school do you study?,
689,Aapko kya chahiye?,What do you want?,
690,Main tumhari madad karta hoon,I help you,
691,Kya tumne khana khaya?,Have you eaten food?,
692,Main apne saathi ke bina nahi rahna chahta,I don't want to live without my partner,
693,Tumne ab tak kya kuch kiya hai?,What have you done so far?,
694,Mujhe tumhari yaad bahut aati hai,I miss you a lot,
695,Mere paas bahut saara kaam hai,I have a lot of work,
696,Tumhari khushi meri khushi,Your happiness is my happiness,
697,Kitna paisa hai tumhare paas?,How much money do you have?,
698,Raat ko sone se pehle pi lena,Drink before sleeping at night,
699,Kya tumne apne kaam ko pura kiya hai?,Have you completed your work?,
700,Mere doston ke sath main masti karta hoon,I have fun with my friends,
701,Main kisi aur ka kya karunga?,What will I do with someone else's work?,
702,Tum mere saath chalogi?,Will you come with me?,
703,Tumhara mera rishta bahut meetha hai,Our relationship is very sweet,
704,Kya tumhare paas kuch paise hai?,Do you have some money?,
705,Main tumse pyaar karta hun,I love you,
706,Tum doodh chai peene wale ho ya iska kadwa peene wale?,Are you a milk tea or bitter tea person?,
707,Kab tum office se wapas aaoge?,When will you come back from the office?,
708,Main tumhe aise hi dekhna chahta tha,I wanted to see you like this,
709,Aaj mausam bahut suhana hai,The weather is very pleasant today,
710,Main nahi chahta ki tum meri madad karo,I don't want you to help me,
